timestamp	phase	score	words	keep_discard	description
f1d2cb6	revision-cycle-1	6.0	43092	cycle	Cycle 1: novel_score 0.0->6.0
395a8ed	revision-cycle-2	7.0	39250	cycle	Cycle 2: novel_score 6.0->7.0
